item,lift,confidence
tunics & underwires,11.14444444,0.066666667
underwires & tunics,11.14444444,0.006666667
joggers & trainers,11.05599647,0.031746032
trainers & joggers,11.05599647,0.027777778
beanies & thermals,11.03491272,0.176470588
thermals & beanies,11.03491272,0.007481297
loafers & chemises,11.01229688,0.090909091
chemises & loafers,11.01229688,0.004830918
mules & loafers,10.98110057,0.154589372
loafers & mules,10.98110057,0.090651558
waistcoats & luggages,10.92116725,0.035714286
fascinators & luggages,10.92116725,0.035714286
luggages & waistcoats,10.92116725,0.012195122
luggages & fascinators,10.92116725,0.012195122
beanies & puffers,10.7196295,0.171428571
puffers & beanies,10.7196295,0.014962594
gloves & shawls,10.60814384,0.06557377
shawls & gloves,10.60814384,0.025806452
loafers & oxfords,10.09460548,0.083333333
oxfords & loafers,10.09460548,0.024154589
gloves & capes,10.02141022,0.061946903
capes & gloves,10.02141022,0.04516129
headbands & underwires,10.00998004,0.066666667
underwires & headbands,10.00998004,0.005988024
sweatpants & hoodys,9.97150053,0.036585366
hoodys & sweatpants,9.97150053,0.032608696
vests & trenchcoats,9.950396825,0.125
thongs & luggages,9.950396825,0.035714286
thongs & kaftans,9.950396825,0.035714286
kaftans & thongs,9.950396825,0.033333333
joggers & puffers,9.950396825,0.028571429
puffers & joggers,9.950396825,0.013888889
luggages & thongs,9.950396825,0.011111111
trenchcoats & vests,9.950396825,0.003174603
shirts & chemises,9.884207933,0.727272727
chemises & shirts,9.884207933,0.004336043
hoodys & trainers,9.70770422,0.031746032
trainers & puffs,9.70770422,0.024390244
trainers & hoodys,9.70770422,0.024390244
puffs & trainers,9.70770422,0.015873016
eyewears & raincoats,9.681467181,0.071428571
raincoats & eyewears,9.681467181,0.005405405
swimsuits & visors,9.629416283,0.166666667
visors & swimsuits,9.629416283,0.00921659
overalls & oxfords,9.570610687,0.05
oxfords & overalls,9.570610687,0.022900763
tubes & luggages,9.526975684,0.035714286
luggages & tubes,9.526975684,0.010638298
briefs & thongs,9.525166192,0.044444444
thongs & briefs,9.525166192,0.034188034
playsuits & trenchcoats,9.498106061,0.125
trenchcoats & playsuits,9.498106061,0.003030303
wraps & nightgowns,9.469410876,0.5
nightgowns & wraps,9.469410876,0.000755287
beanies & parkas,9.37967581,0.15
parkas & beanies,9.37967581,0.014962594
tunics & thongs,9.287037037,0.055555556
thongs & tunics,9.287037037,0.033333333
aviators & ray-bans,9.245339122,0.311557789
ray-bans & aviators,9.245339122,0.073372781
packs & trainers,9.149790184,0.031746032
trainers & packs,9.149790184,0.022988506
vests & shawls,9.134790528,0.114754098
shawls & vests,9.134790528,0.022222222
caps & visors,9.100972706,0.208333333
visors & caps,9.100972706,0.008710801
sunniess & sandalens,8.939393939,0.019607843
sandalens & sunniess,8.939393939,0.018181818
