predict,real
-0.32727942,-0.36748661
-0.3024829,-0.202354127
-0.2447418,-0.36748661
-0.35581863,-0.36748661
-0.25449923,-0.532619093
-0.22653341,-0.36748661
-0.28024438,-0.532619093
-0.17531937,-0.532619093
-0.42299372,0.12791084
0.09693931,-0.532619093
-0.2890386,-0.36748661
-0.22071245,-0.36748661
-0.3106506,-0.532619093
-0.29163408,0.12791084
-0.30648798,-0.202354127
-0.27111933,-0.037221643
-0.09374867,-0.532619093
-0.32533985,0.12791084
-0.28757894,-0.36748661
-0.12297027,-0.202354127
-0.31584036,-0.532619093
-0.18247722,-0.532619093
-0.19017997,-0.037221643
-0.26459908,-0.532619093
-0.33909518,0.12791084
-0.3042249,0.293043324
-0.36950117,1.283838224
-0.32812408,-0.532619093
-0.24377753,1.614103191
-0.3078634,-0.532619093
-0.294446,0.12791084
-0.28028232,-0.037221643
-0.33021817,-0.532619093
-0.18422648,-0.532619093
-0.18753189,-0.532619093
-0.23841235,-0.36748661
0.3561237,-0.037221643
-0.3854144,-0.532619093
-0.22172965,-0.202354127
-0.26697978,-0.532619093
-0.20797175,-0.202354127
-0.6117534,-0.532619093
-0.36034787,-0.532619093
-0.1826433,-0.532619093
-0.33918887,-0.36748661
-0.32529142,-0.532619093
-0.34995586,-0.36748661
-0.2901226,-0.532619093
-0.31671643,-0.36748661
-0.31929213,-0.037221643
-0.23630214,-0.202354127
-0.05194059,-0.532619093
0.08136629,0.293043324
0.22740595,0.12791084
-0.3738625,-0.532619093
-0.28885955,0.458175807
0.3467217,0.62330829
-0.30344394,-0.037221643
-0.33248347,1.614103191
-0.14336494,-0.36748661
-0.3421148,-0.532619093
-0.25920168,-0.037221643
-0.02938993,-0.037221643
-0.146647,-0.532619093
-0.25223273,-0.532619093
0.00447376,-0.532619093
-0.2900529,0.458175807
-0.28900513,0.293043324
-0.21561456,-0.36748661
-0.01350029,-0.36748661
-0.29011405,-0.202354127
-0.19964314,-0.202354127
-0.14858495,-0.36748661
-0.12606241,0.788440774
-0.2762395,-0.037221643
-0.02551939,-0.36748661
-0.3728512,0.12791084
-0.11990028,-0.532619093
-0.22464249,0.12791084
-0.08361959,-0.532619093
-0.25567022,-0.36748661
-0.21544245,-0.532619093
-0.31584036,-0.36748661
-0.07356809,0.293043324
-0.2616819,-0.532619093
-0.36741924,-0.532619093
-0.05914576,-0.532619093
-0.12502325,-0.202354127
-0.29433858,-0.202354127
-0.37885964,-0.202354127
-0.24579388,0.458175807
0.31435388,2.770030574
0.04609229,-0.532619093
0.05774827,-0.037221643
-0.25981677,1.944368157
-0.27107504,-0.532619093
-0.26360288,1.614103191
-0.35640347,-0.36748661
-0.00531426,0.788440774
-0.25450394,-0.36748661
0.21401067,-0.037221643
-0.24570687,-0.532619093
-0.37566572,-0.202354127
-0.12664717,-0.36748661
-0.4230271,-0.36748661
-0.20168786,-0.36748661
-0.1541277,-0.532619093
-0.25175014,-0.532619093
0.16500495,-0.532619093
0.09866162,-0.36748661
-0.2046484,0.12791084
-0.454306,0.12791084
-0.13879916,-0.532619093
-0.35101324,-0.202354127
-0.20854232,-0.36748661
-0.11630567,-0.202354127
0.10195096,-0.36748661
-0.2224489,1.779235674
-0.2876812,0.953573257
-0.39706665,-0.532619093
-0.16752863,-0.532619093
-0.18507487,-0.36748661
-0.28464547,-0.36748661
-0.2092772,0.62330829
-0.18505207,-0.532619093
-0.166291,-0.36748661
-0.322928,-0.202354127
-0.22572872,0.12791084
-0.16940054,0.12791084
-0.38306522,-0.36748661
-0.3413177,-0.202354127
-0.3002403,0.788440774
-0.39056075,-0.532619093
0.90274936,-0.532619093
-0.09294944,-0.36748661
-0.10176438,-0.36748661
0.10104205,0.293043324
0.70484966,0.12791084
-0.20584027,-0.532619093
-0.1468239,-0.36748661
-0.18305194,-0.532619093
-0.346814,-0.532619093
-0.19031988,-0.202354127
-0.18281302,-0.532619093
-0.30387604,-0.36748661
-0.26441655,0.12791084
0.3081836,-0.202354127
-0.17016244,-0.532619093
-0.27583608,-0.202354127
-0.21320304,0.458175807
-0.06432627,0.458175807
-0.31777027,-0.037221643
-0.00112431,-0.532619093
-0.21250224,0.293043324
-0.30899206,-0.532619093
-0.26950693,-0.202354127
-0.053616,-0.532619093
-0.4157716,-0.532619093
-0.1306249,2.439765608
-0.21719056,-0.202354127
-0.21314424,-0.037221643
-0.1858261,-0.532619093
-0.1769566,-0.36748661
-0.40842265,-0.037221643
-0.05071364,-0.202354127
0.02199937,-0.36748661
-0.27960968,-0.36748661
-0.2145985,-0.532619093
-0.23568054,-0.037221643
1.6410197,-0.532619093
-0.3150174,-0.532619093
-0.20774575,-0.532619093
-0.29916048,-0.532619093
-0.30462956,-0.532619093
-0.22461545,0.293043324
-0.19624406,-0.36748661
-0.08164458,0.12791084
-0.05886726,0.12791084
-0.13439937,-0.36748661
0.10723619,0.293043324
-0.15290669,-0.532619093
-0.06428,-0.532619093
-0.25979376,-0.532619093
-0.3340017,-0.202354127
-0.17995512,-0.202354127
-0.2875849,-0.202354127
-0.32576966,-0.202354127
-0.00115702,-0.532619093
-0.24283722,0.12791084
-0.14965057,-0.532619093
0.51148194,-0.532619093
-0.23486257,-0.202354127
-0.26487514,-0.532619093
-0.2383288,-0.532619093
1.2689978,-0.532619093
-0.3846426,-0.36748661
-0.14860927,-0.532619093
-0.2632077,-0.532619093
-0.3128301,-0.36748661
-0.32965982,0.458175807
-0.13621381,-0.36748661
-0.18185243,1.944368157
0.31706828,0.458175807
-0.09959474,1.448970707
-0.22734547,-0.202354127
-0.11295205,0.62330829
-0.13543129,-0.532619093
-0.18957978,-0.36748661
0.09239422,-0.532619093
0.05905963,1.614103191
-0.29923666,-0.36748661
-0.22637902,0.458175807
-0.0500083,-0.532619093
-0.42637956,1.11870574
-0.14486073,-0.202354127
-0.533383,-0.36748661
-0.41081446,-0.532619093
-0.45254543,0.12791084
-0.24070562,0.293043324
-0.23033261,-0.36748661
-0.25627857,0.12791084
-0.28789365,-0.202354127
0.05955736,0.458175807
-0.23953392,3.265428024
-0.27733648,9.045064943
-0.29916048,-0.202354127
-0.01306415,0.788440774
-0.27789313,0.293043324
-0.02253787,1.283838224
-0.2397843,1.283838224
-0.27559066,-0.532619093
-0.22871952,2.935163058
